CrashID,CrashType,Severity
20241115,Single,1
20241125,Single,1
20246013,Multiple,1
20241002,Multiple,1
20242261,Multiple,1
20243185,Multiple,1
20244016,Single,1
20245001,Single,1
20243168,Multiple,1
20246003,Multiple,1
20246001,Multiple,1
20244081,Single,1
20241087,Single,1
20241054,Multiple,1
20244042,Single,1
20242183,Single,1
20242171,Multiple,1
20243246,Single,1
20248007,Single,1
20241101,Single,1
20241216,Single,1
20241300,Multiple,1
20243007,Multiple,1
20241278,Single,1
20245005,Single,1
20241149,Single,1
20247029,Single,1
20242156,Single,1
20245143,Single,1
20245039,Single,2
20242087,Single,1
20241068,Multiple,1
20243273,Single,1
20242141,Multiple,1
20245045,Single,1
20245093,Single,1
20244020,Multiple,1
20244055,Multiple,2
20242095,Single,1
20245100,Single,1
20241094,Multiple,1
20243209,Multiple,1
20243160,Multiple,2
20244001,Multiple,1
20243243,Multiple,1
20245119,Single,1
20246016,Single,1
20241119,Multiple,2
20245133,Single,1
20245069,Single,1
20241169,Single,1
20245161,Single,1
20241291,Multiple,1
20243036,Single,1
20244026,Single,1
20241077,Single,1
20241028,Multiple,1
20241022,Single,1
20243015,Multiple,1
20245068,Single,1
20242229,Single,1
20244023,Single,1
20241098,Single,1
20243114,Single,2
20245092,Single,1
20241040,Multiple,1
20242188,Single,1
20241174,Multiple,1
20241088,Multiple,1
20245031,Single,1
20242136,Multiple,1
20241255,Multiple,1
20242227,Single,1
20241053,Single,2
20243046,Single,2
20245107,Single,1
20241080,Single,1
20242006,Multiple,1
20245130,Single,1
20243044,Multiple,1
20246009,Multiple,1
20241274,Multiple,1
20242073,Multiple,1
20241240,Single,1
20242035,Single,1
20243176,Single,1
20245006,Single,1
20241181,Single,1
20243110,Single,1
20242037,Single,1
20244044,Single,1
20243090,Single,1
20243147,Single,1
20245083,Single,1
20244019,Single,1
20241194,Multiple,1
20241139,Multiple,1
20241197,Multiple,1
20243220,Single,1
20243267,Multiple,1
20241057,Single,1
20245164,Single,1
20243174,Multiple,1
20242148,Multiple,1
20241166,Single,1
20247011,Single,1
20243213,Multiple,1
20241096,Single,1
20242089,Multiple,1
20245012,Single,1
20245070,Single,1
20243073,Single,1
20242264,Multiple,1
20241027,Single,1
20242018,Multiple,1
20241163,Single,1
20243143,Single,1
20241222,Multiple,1
20241218,Single,1
20243249,Single,1
20243098,Multiple,1
20242193,Single,1
20241306,Single,1
20247002,Multiple,1
20243037,Single,1
20244083,Single,1
20245145,Single,1
20241196,Multiple,1
20244028,Multiple,2
20243038,Single,1
20242023,Multiple,1
20242230,Multiple,1
20242127,Multiple,1
20242120,Single,1
20241106,Multiple,1
20241230,Single,1
20241055,Single,1
20241267,Multiple,1
20242260,Multiple,1
20242158,Single,1
20242057,Single,1
20242163,Single,1
20245098,Single,1
20243153,Multiple,1
20242161,Single,1
20243172,Single,1
20241236,Multiple,1
20245162,Single,1
20242213,Single,1
20242005,Single,1
20241188,Single,1
20245056,Single,1
20245008,Single,1
20242114,Multiple,2
20243191,Multiple,2
20241256,Multiple,2
20247006,Single,1
20242207,Single,1
20242019,Multiple,1
20243008,Multiple,1
20243041,Single,1
20243001,Single,1
20244021,Single,1
20243113,Single,1
20242050,Single,1
20242004,Multiple,1
20241107,Single,1
20243022,Single,1
20248002,Single,1
20242088,Single,1
20241173,Single,2
20241004,Single,1
20246004,Multiple,1
20241201,Multiple,1
20242124,Single,1
20241029,Single,1
20243005,Multiple,1
20241261,Multiple,1
20244024,Single,1
20245004,Single,1
20245134,Single,1
20241215,Multiple,1
20243186,Single,1
20248006,Single,1
20243208,Single,1
20241134,Multiple,1
20243040,Multiple,2
20241263,Single,1
20241302,Single,1
20241147,Single,1
20243096,Single,1
20243248,Multiple,1
20241150,Multiple,1
20241247,Multiple,1
20242051,Multiple,1
20242174,Multiple,1
20241234,Multiple,1
20242110,Multiple,1
20242052,Multiple,1
20243247,Single,1
20243144,Multiple,1
20242013,Single,1
20242008,Single,1
20241235,Multiple,1
20243087,Single,2
20244061,Multiple,1
20241009,Single,1
20241072,Multiple,1
20243129,Multiple,1
20242219,Multiple,1
20241219,Multiple,1
20244010,Multiple,1
20244040,Single,1
20243171,Single,1
20242075,Single,1
20243079,Single,1
20245103,Single,1
20242068,Multiple,1
20241045,Multiple,1
20243017,Multiple,2
20242128,Single,1
20247024,Single,2
20241160,Multiple,1
20241081,Multiple,1
20242103,Multiple,1
20241135,Multiple,1
20241209,Multiple,1
20245051,Single,1
20242140,Single,2
20242142,Single,1
20243107,Multiple,1
20243020,Multiple,1
20241151,Single,1
20243158,Multiple,1
20241286,Multiple,1
20243102,Multiple,1
20241303,Single,1
20246029,Single,1
20248005,Single,1
20243035,Single,1
20244018,Single,1
20241060,Single,2
20242022,Multiple,1
20241037,Single,1
20241257,Single,1
20241128,Single,1
20243089,Single,1
20242181,Single,1
20243082,Multiple,1
20245080,Single,1
20243150,Multiple,1
20245041,Single,1
20242152,Multiple,1
20247010,Single,1
20245088,Single,1
20243239,Single,1
20243170,Single,1
20242040,Single,1
20243084,Multiple,1
20241030,Single,1
20245016,Single,3
20243127,Multiple,1
20243003,Multiple,1
20243266,Single,1
20241042,Single,1
20243121,Single,1
20245124,Single,1
20245043,Single,2
20245044,Single,1
20241175,Multiple,1
20245061,Single,1
20243072,Single,1
20242232,Single,1
20244057,Single,1
20242173,Single,1
20241091,Single,1
20243201,Multiple,1
20242135,Multiple,1
20243225,Single,1
20245116,Single,1
20241167,Multiple,1
20244060,Single,1
20241268,Multiple,1
20244013,Multiple,1
20245002,Single,1
20243235,Multiple,2
20244059,Multiple,2
20245015,Single,1
20241266,Single,1
20243131,Single,1
20245111,Single,1
20242080,Single,1
20245160,Single,1
20241287,Multiple,1
20241152,Single,1
20243161,Multiple,1
20242042,Single,1
20243210,Single,1
20244025,Single,1
20243088,Single,1
20241211,Multiple,2
20242007,Multiple,1
20247050,Multiple,1
20245037,Single,1
20241204,Multiple,1
20244062,Single,1
20241137,Multiple,1
20243117,Multiple,1
20242081,Multiple,1
20242015,Multiple,1
20243206,Multiple,1
20242034,Single,1
20248003,Single,1
20244032,Multiple,1
20241153,Multiple,1
20242138,Multiple,1
20243198,Single,1
20243190,Single,1
20242107,Single,1
20243080,Single,1
20242204,Multiple,1
20242139,Single,1
20245086,Single,1
20247026,Single,1
20245063,Single,1
20241103,Single,1
20247025,Single,1
20242129,Single,1
20244027,Multiple,1
20243006,Single,1
20243108,Multiple,1
20243212,Multiple,1
20241237,Single,1
20241052,Single,1
20241308,Single,1
20246027,Single,1
20244072,Single,1
20245125,Single,1
20241195,Single,1
20244043,Multiple,1
20241102,Multiple,1
20243194,Single,1
20245148,Single,1
20246017,Multiple,2
20243070,Multiple,1
20243165,Multiple,1
20241063,Multiple,1
20241132,Multiple,1
20241292,Multiple,1
20245141,Single,1
20241189,Single,1
20241233,Multiple,4
20242115,Single,1
20242167,Multiple,1
20241016,Single,1
20246025,Single,1
20243234,Multiple,1
20241220,Multiple,1
20243002,Multiple,1
20241034,Multiple,1
20242012,Single,1
20243009,Multiple,2
20245018,Single,1
20241269,Single,1
20242093,Single,1
20242176,Multiple,1
20242255,Multiple,1
20241066,Single,1
20242175,Multiple,1
20243207,Single,1
20242029,Multiple,1
20241246,Multiple,1
20242046,Multiple,1
20241078,Single,1
20245065,Single,1
20243064,Single,1
20241013,Single,2
20246019,Single,1
20247019,Single,1
20247039,Single,1
20242257,Multiple,1
20241138,Multiple,1
20245013,Single,1
20247045,Single,1
20244014,Multiple,1
20242053,Single,1
20244069,Single,1
20243111,Multiple,1
20247028,Multiple,1
20243067,Single,1
20242186,Multiple,1
20242250,Single,1
20245078,Single,1
20243167,Single,1
20245150,Single,1
20243106,Single,1
20242098,Multiple,1
20241179,Multiple,1
20242070,Multiple,1
20243261,Multiple,1
20243227,Single,1
20242243,Multiple,1
20242102,Multiple,1
20245165,Single,1
20241109,Single,1
20243187,Single,1
20245028,Single,1
20241301,Multiple,1
20243135,Single,1
20245166,Single,1
20245110,Single,1
20241248,Multiple,1
20245030,Single,1
20243268,Single,1
20242071,Multiple,1
20241020,Single,1
20241294,Single,1
20241304,Multiple,1
20245112,Single,1
20242123,Single,1
20243197,Single,1
20242144,Multiple,1
20241199,Single,2
20243066,Single,1
20243203,Single,1
20243233,Multiple,1
20242209,Multiple,1
20242056,Multiple,1
20245152,Single,1
20242130,Multiple,1
20243109,Multiple,2
20243010,Single,1
20247035,Multiple,1
20243181,Multiple,1
20246018,Multiple,1
20241071,Single,1
20241186,Multiple,1
20243078,Multiple,1
20241223,Multiple,1
20245136,Single,1
20241221,Multiple,1
20241143,Multiple,1
20243242,Single,1
20247031,Multiple,1
20242189,Single,1
20245102,Single,1
20242170,Multiple,1
20243043,Multiple,1
20241140,Multiple,1
20244063,Multiple,1
20245010,Single,1
20241131,Single,1
20245019,Single,1
20242172,Multiple,1
20241111,Multiple,1
20242055,Single,1
20241017,Multiple,1
20244067,Single,1
20246024,Single,1
20241254,Single,2
20247004,Multiple,1
20243011,Multiple,1
20245147,Single,1
20246011,Multiple,1
20242177,Single,1
