Crash ID,DateID,LocationID,Crash Type,Number Fatalities,Speed Limit,National LGA Name 2021,TimeID,VehicleID,EventID,PeopleID
20241115,Date2024125,Loc1,Single,1,Fast,Wagga Wagga,Time1,Veh1,Event1,Peop1
20241125,,Loc2,Single,1,Medium,Hawkesbury,Time2,Veh1,Event2,Peop2
20246013,,Loc3,Multiple,1,Medium,Northern Midlands,Time3,Veh1,Event1,Peop3
20241002,,Loc4,Multiple,1,Fast,Armidale Regional,Time4,Veh1,Event2,Peop4
20242261,,Loc5,Multiple,1,,,Time5,Veh2,Event2,Peop5
20243185,,Loc6,Multiple,1,Fast,Lockyer Valley,Time6,Veh1,Event2,Peop6
20244016,,Loc7,Single,1,Fast,Wakefield,Time7,Veh1,Event1,Peop7
20245001,,Loc8,Single,1,Fast,,Time8,Veh1,Event2,Peop8
20243168,Date2024125,Loc9,Multiple,1,Medium,Southern Downs,Time9,Veh1,Event2,Peop9
20246003,,Loc10,Multiple,1,Medium,Brighton,Time10,Veh1,Event2,Peop10
20246001,,Loc11,Multiple,1,Fast,West Tamar,Time11,Veh1,Event2,Peop11
20244081,,Loc12,Single,1,Medium,Mid Murray,Time12,Veh1,Event2,Peop12
20241087,,Loc13,Single,1,Medium,Blue Mountains,Time13,Veh1,Event2,Peop13
20241054,,Loc14,Multiple,1,Fast,Upper Lachlan,Time14,Veh3,Event2,Peop14
20244042,Date2024121,,Single,1,Fast,Wattle Range,Time15,Veh1,Event2,Peop15
20242183,,,Single,1,,,Time16,Veh2,Event2,Peop16
20242171,,,Multiple,1,,,Time17,Veh2,Event1,Peop17
20243246,Date2024121,Loc15,Single,1,Medium,Cairns,Time18,Veh1,Event2,Peop18
20248007,,Loc16,Single,1,,Unincorporated ACT,Time19,Veh1,Event1,Peop19
20241101,,Loc17,Single,1,Medium,Wollongong,Time20,Veh3,Event2,Peop20
20241216,,,Single,1,Medium,Penrith,Time21,Veh1,Event1,Peop21
20241300,,Loc18,Multiple,1,Fast,Upper Hunter,Time22,Veh1,Event2,Peop22
20243007,,Loc19,Multiple,1,Fast,South Burnett,Time23,Veh1,Event1,Peop23
20241278,,Loc20,Single,1,Fast,Mid-Western Regional,Time24,Veh1,Event2,Peop24
20245005,,,Single,1,Fast,,Time25,Veh1,Event1,Peop25
20241149,,Loc21,Single,1,Low,Canterbury-Bankstown,Time26,Veh1,Event2,Peop26
20247029,,Loc22,Single,1,,,Time27,Veh1,Event1,Peop27
20242156,,,Single,1,,,Time28,Veh2,Event1,Peop28
20245143,,,Single,1,Medium,,Time29,Veh1,Event1,Peop29
20245039,,,Single,2,Fast,,Time30,Veh1,Event1,"Peop30, Peop31"
20242087,Date2024126,Loc23,Single,1,Fast,Mitchell,Time31,Veh2,Event2,Peop32
20241068,,Loc24,Multiple,1,Fast,Greater Hume,Time32,Veh4,Event2,Peop33
20243273,,Loc25,Single,1,Fast,Southern Downs,Time1,Veh1,Event2,Peop34
20242141,,,Multiple,1,,,Time33,Veh2,Event2,Peop35
20245045,,,Single,1,Medium,,Time34,Veh1,Event2,Peop36
20245093,,,Single,1,Medium,,Time35,Veh1,Event2,Peop37
20244020,,Loc26,Multiple,1,Fast,Barossa,Time36,Veh1,Event2,Peop38
20244055,,,Multiple,2,Fast,Wattle Range,Time37,Veh1,Event1,"Peop39, Peop40"
20242095,,,Single,1,,,Time38,Veh2,Event2,Peop41
20245100,,,Single,1,Fast,,Time39,Veh5,Event2,Peop42
20241094,,Loc27,Multiple,1,Medium,Port Macquarie-Hastings,Time40,Veh1,Event1,Peop43
20243209,,,Multiple,1,Medium,Douglas,Time23,Veh1,Event1,Peop46
20243160,,Loc28,Multiple,2,Fast,Mackay,Time23,Veh1,Event1,"Peop44, Peop45"
20244001,,Loc29,Multiple,1,Fast,Yankalilla,Time41,Veh1,Event1,Peop47
20243243,,Loc30,Multiple,1,Medium,Logan,Time42,Veh5,Event2,Peop48
20245119,,,Single,1,Medium,,Time43,Veh1,Event2,Peop49
20246016,,,Single,1,Fast,Dorset,Time44,Veh1,Event2,Peop50
20241119,,Loc31,Multiple,2,Fast,Armidale Regional,Time45,Veh1,Event2,"Peop51, Peop52"
20245133,,,Single,1,Fast,,Time46,Veh1,Event2,Peop53
20245069,,,Single,1,Medium,,Time47,Veh1,Event2,Peop54
20241169,,,Single,1,Medium,Nambucca Valley,Time48,Veh1,Event2,Peop55
20245161,,,Single,1,Medium,,Time49,Veh1,Event2,Peop56
20241291,Date2024127,Loc32,Multiple,1,Fast,Narromine,Time50,Veh3,Event2,Peop57
20243036,,Loc33,Single,1,Fast,Fraser Coast,Time1,Veh1,Event2,Peop58
20244026,,Loc34,Single,1,Medium,Unincorporated SA,Time51,Veh1,Event2,Peop59
20241077,,,Single,1,Medium,Shellharbour,Time52,Veh1,Event2,Peop60
20241028,,,Multiple,1,Medium,Wollongong,Time53,Veh1,Event2,Peop61
20241022,,,Single,1,Fast,Narrabri,Time54,Veh1,Event2,Peop62
20243015,,Loc35,Multiple,1,Medium,Logan,Time55,Veh1,Event2,Peop63
20245068,,,Single,1,Low,,Time56,Veh1,Event2,Peop64
20242229,,,Single,1,,,Time57,Veh2,Event2,Peop65
20244023,,,Single,1,Fast,Barossa,Time58,Veh1,Event2,Peop66
20241098,,,Single,1,Fast,Nambucca Valley,Time59,Veh1,Event2,Peop67
20243114,,Loc36,Single,2,Fast,Cook,Time6,Veh1,Event2,"Peop68, Peop69"
20245092,,,Single,1,Medium,,Time60,Veh1,Event2,Peop70
20241040,,,Multiple,1,Fast,Tenterfield,Time61,Veh1,Event2,Peop71
20242188,,Loc37,Single,1,Fast,Greater Bendigo,Time62,Veh2,Event1,Peop72
20241174,,Loc38,Multiple,1,Medium,Central Coast,Time63,Veh1,Event2,Peop73
20241088,,,Multiple,1,Fast,Tamworth Regional,Time26,Veh1,Event2,Peop74
20245031,,,Single,1,Medium,,Time64,Veh1,Event2,Peop75
20242136,,Loc39,Multiple,1,Fast,Whittlesea,Time65,Veh6,Event2,Peop76
20241255,,,Multiple,1,Fast,Hilltops,Time66,Veh1,Event2,Peop77
20242227,,,Single,1,,,Time67,Veh2,Event2,Peop78
20241053,,,Single,2,Fast,Forbes,Time68,Veh1,Event2,"Peop79, Peop80"
20243046,,,Single,2,Medium,Toowoomba,Time13,Veh1,Event2,"Peop81, Peop82"
20245107,,,Single,1,Medium,,Time69,Veh1,Event2,Peop83
20241080,Date2024124,Loc40,Single,1,Medium,Lake Macquarie,Time70,Veh1,Event2,Peop84
20242006,,,Multiple,1,,,Time71,Veh2,Event2,Peop85
20245130,,,Single,1,Fast,,Time72,Veh1,Event1,Peop86
20243044,,Loc41,Multiple,1,Fast,Livingstone,Time55,Veh3,Event2,Peop87
20246009,,,Multiple,1,Medium,Northern Midlands,Time73,Veh1,Event1,Peop88
20241274,,Loc42,Multiple,1,Fast,Blacktown,Time74,Veh1,Event2,Peop89
20242073,,,Multiple,1,,,Time75,Veh2,Event2,Peop90
20241240,,Loc43,Single,1,Medium,Dubbo Regional,Time76,Veh1,Event2,Peop91
20242035,,,Single,1,,,Time77,Veh2,Event2,Peop92
20243176,Date2024122,,Single,1,Medium,Cairns,Time1,Veh1,Event1,Peop93
20245006,,,Single,1,Medium,,Time78,Veh1,Event2,Peop94
20241181,,,Single,1,Fast,Balranald,Time79,Veh3,Event1,Peop95
20243110,,Loc44,Single,1,Medium,Lockhart River,Time80,Veh1,Event1,Peop96
