Date,Number of fatal crashes,Number Fatalities,DateID
1989-01-01,6,8,Date1989017
1989-01-02,8,10,Date1989011
1989-01-02,8,10,Date1989011
1989-01-02,8,10,Date1989011
1989-01-03,2,2,Date1989012
1989-01-04,5,5,Date1989013
1989-01-05,3,7,Date1989014
1989-01-06,7,8,Date1989015
1989-01-06,7,8,Date1989015
1989-01-07,7,8,Date1989016
1989-01-08,5,6,Date1989017
1989-01-09,8,8,Date1989011
1989-01-09,8,8,Date1989011
1989-01-09,8,8,Date1989011
1989-01-10,7,7,Date1989012
1989-01-11,3,8,Date1989013
1989-01-12,6,7,Date1989014
1989-01-13,9,13,Date1989015
1989-01-13,9,13,Date1989015
1989-01-14,4,4,Date1989016
1989-01-15,7,8,Date1989017
1989-01-16,3,3,Date1989011
1989-01-16,3,3,Date1989011
1989-01-16,3,3,Date1989011
1989-01-17,2,2,Date1989012
1989-01-18,6,8,Date1989013
1989-01-19,3,3,Date1989014
1989-01-20,5,5,Date1989015
1989-01-20,5,5,Date1989015
1989-01-21,11,15,Date1989016
1989-01-22,9,12,Date1989017
1989-01-23,2,2,Date1989011
1989-01-23,2,2,Date1989011
1989-01-23,2,2,Date1989011
1989-01-24,5,5,Date1989012
1989-01-25,7,7,Date1989013
1989-01-26,8,8,Date1989014
1989-01-27,12,16,Date1989015
1989-01-27,12,16,Date1989015
1989-01-28,13,13,Date1989016
1989-01-29,8,9,Date1989017
1989-01-30,5,5,Date1989011
1989-01-30,5,5,Date1989011
1989-01-30,5,5,Date1989011
1989-01-31,6,6,Date1989012
1989-02-01,5,6,Date1989023
1989-02-02,2,2,Date1989024
1989-02-03,1,1,Date1989025
1989-02-03,1,1,Date1989025
1989-02-04,6,7,Date1989026
1989-02-05,7,9,Date1989027
1989-02-06,10,14,Date1989021
1989-02-06,10,14,Date1989021
1989-02-07,8,9,Date1989022
1989-02-08,7,7,Date1989023
1989-02-09,8,8,Date1989024
1989-02-10,5,9,Date1989025
1989-02-10,5,9,Date1989025
1989-02-11,3,3,Date1989026
1989-02-12,10,11,Date1989027
1989-02-13,8,8,Date1989021
1989-02-13,8,8,Date1989021
1989-02-14,7,8,Date1989022
1989-02-15,8,9,Date1989023
1989-02-16,10,10,Date1989024
1989-02-17,7,7,Date1989025
1989-02-17,7,7,Date1989025
1989-02-18,6,6,Date1989026
1989-02-19,10,11,Date1989027
1989-02-20,5,5,Date1989021
1989-02-20,5,5,Date1989021
1989-02-21,3,3,Date1989022
1989-02-22,9,9,Date1989023
1989-02-23,11,12,Date1989024
1989-02-24,9,10,Date1989025
1989-02-24,9,10,Date1989025
1989-02-25,11,13,Date1989026
1989-02-26,7,7,Date1989027
1989-02-27,3,3,Date1989021
1989-02-27,3,3,Date1989021
1989-02-28,4,4,Date1989022
1989-03-01,10,11,Date1989033
1989-03-02,7,7,Date1989034
1989-03-03,8,10,Date1989035
1989-03-03,8,10,Date1989035
1989-03-04,15,16,Date1989036
1989-03-05,8,8,Date1989037
1989-03-06,4,4,Date1989031
1989-03-06,4,4,Date1989031
1989-03-07,8,10,Date1989032
1989-03-08,3,3,Date1989033
1989-03-09,3,3,Date1989034
1989-03-10,10,10,Date1989035
1989-03-10,10,10,Date1989035
1989-03-11,12,13,Date1989036
1989-03-12,6,6,Date1989037
1989-03-13,8,14,Date1989031
1989-03-13,8,14,Date1989031
1989-03-14,9,11,Date1989032
1989-03-15,4,5,Date1989033
1989-03-16,0,0,Date1989034
1989-03-17,13,13,Date1989035
1989-03-17,13,13,Date1989035
1989-03-18,8,9,Date1989036
1989-03-19,7,7,Date1989037
1989-03-20,2,2,Date1989031
1989-03-20,2,2,Date1989031
1989-03-21,9,14,Date1989032
1989-03-22,7,8,Date1989033
1989-03-23,9,10,Date1989034
1989-03-24,4,4,Date1989035
1989-03-24,4,4,Date1989035
1989-03-25,9,10,Date1989036
1989-03-26,8,9,Date1989037
1989-03-27,8,9,Date1989031
1989-03-27,8,9,Date1989031
1989-03-28,6,7,Date1989032
1989-03-29,7,10,Date1989033
1989-03-30,7,7,Date1989034
1989-03-31,6,6,Date1989035
1989-03-31,6,6,Date1989035
1989-04-01,6,6,Date1989046
1989-04-02,6,9,Date1989047
1989-04-03,3,4,Date1989041
1989-04-03,3,4,Date1989041
1989-04-04,1,1,Date1989042
1989-04-05,4,4,Date1989043
1989-04-06,4,7,Date1989044
1989-04-07,9,11,Date1989045
1989-04-07,9,11,Date1989045
1989-04-08,8,8,Date1989046
1989-04-09,10,10,Date1989047
1989-04-10,6,6,Date1989041
1989-04-10,6,6,Date1989041
1989-04-11,3,3,Date1989042
1989-04-12,5,6,Date1989043
1989-04-13,3,4,Date1989044
1989-04-14,5,5,Date1989045
1989-04-14,5,5,Date1989045
1989-04-15,7,8,Date1989046
1989-04-16,5,5,Date1989047
1989-04-17,4,4,Date1989041
1989-04-17,4,4,Date1989041
1989-04-18,5,6,Date1989042
1989-04-19,4,4,Date1989043
1989-04-20,5,7,Date1989044
1989-04-21,5,5,Date1989045
1989-04-21,5,5,Date1989045
1989-04-22,10,12,Date1989046
1989-04-23,5,6,Date1989047
1989-04-24,6,6,Date1989041
1989-04-24,6,6,Date1989041
1989-04-25,8,10,Date1989042
1989-04-26,4,4,Date1989043
1989-04-27,9,9,Date1989044
1989-04-28,7,9,Date1989045
1989-04-28,7,9,Date1989045
1989-04-29,2,2,Date1989046
1989-04-30,7,7,Date1989047
1989-05-01,3,5,Date1989051
1989-05-01,3,5,Date1989051
1989-05-02,2,2,Date1989052
1989-05-03,2,2,Date1989053
1989-05-04,2,2,Date1989054
1989-05-05,5,5,Date1989055
1989-05-05,5,5,Date1989055
1989-05-06,4,5,Date1989056
1989-05-07,9,9,Date1989057
1989-05-08,3,3,Date1989051
1989-05-08,3,3,Date1989051
1989-05-09,3,3,Date1989052
1989-05-10,4,6,Date1989053
1989-05-11,9,9,Date1989054
