LGAID,LGAName,Countofdwellings,LGACode,Population
LGAID1,Albury,25430,10050,57517.0
LGAID2,Armidale Regional,12955,,
LGAID3,Ballina,20889,10250,47279.0
LGAID4,Balranald,1091,10300,2202.0
LGAID5,Bathurst Regional,18458,,
LGAID6,Bayside (NSW),74840,10500,182987.0
LGAID7,Bega Valley,18867,10550,36279.0
LGAID8,Bellingen,6390,10600,13231.0
LGAID9,Berrigan,4265,10650,8643.0
LGAID10,Blacktown,133984,10750,426202.0
LGAID11,Bland,3107,10800,5464.0
LGAID12,Blayney,3246,10850,7644.0
LGAID13,Blue Mountains,35239,10900,78446.0
LGAID14,Bogan,1306,10950,2420.0
LGAID15,Bourke,1317,11150,2365.0
LGAID16,Brewarrina,740,11200,1411.0
LGAID17,Broken Hill,9591,11250,17624.0
LGAID18,Burwood,16201,11300,42498.0
LGAID19,Byron,16996,11350,37126.0
LGAID20,Cabonne,5895,11400,13880.0
LGAID21,Camden,39601,11450,134811.0
LGAID22,Campbelltown (NSW),63128,11500,184784.0
LGAID23,Canada Bay,39121,11520,91385.0
LGAID24,Canterbury-Bankstown,133438,11570,379829.0
LGAID25,Carrathool,1312,11600,2765.0
LGAID26,Central Coast (NSW),152870,11650,351934.0
LGAID27,Central Darling,1065,11700,1757.0
LGAID28,Cessnock,25812,11720,67591.0
LGAID29,Clarence Valley,26143,11730,55323.0
LGAID30,Cobar,2320,11750,4078.0
LGAID31,Coffs Harbour,34696,11800,80489.0
LGAID32,Coolamon,1974,12000,4549.0
LGAID33,Coonamble,1825,12150,3861.0
LGAID34,Cootamundra-Gundagai Regional,5510,,
LGAID35,Cowra,6267,12350,12659.0
LGAID36,Cumberland,83189,12380,245323.0
LGAID37,Dubbo Regional,22823,,
LGAID38,Dungog,4224,12700,9767.0
LGAID39,Edward River,4252,12730,8430.0
LGAID40,Eurobodalla,24600,12750,40912.0
LGAID41,Fairfield,67658,12850,209742.0
LGAID42,Federation,6546,12870,12939.0
LGAID43,Forbes,4373,12900,9300.0
LGAID44,Georges River,58429,12930,158051.0
LGAID45,Gilgandra,2137,12950,4309.0
LGAID46,Glen Innes Severn,4610,13010,8989.0
LGAID47,Goulburn Mulwaree,14739,13310,32710.0
LGAID48,Greater Hume Shire,4846,,
LGAID49,Griffith,10833,13450,27132.0
LGAID50,Gunnedah,5842,13550,13280.0
LGAID51,Gwydir,2443,13660,4940.0
LGAID52,Hawkesbury,25523,13800,68156.0
LGAID53,Hay,1552,13850,2830.0
LGAID54,Hilltops,9220,13910,19255.0
LGAID55,Hornsby,55952,14000,154072.0
LGAID56,Hunters Hill,5323,14100,14036.0
LGAID57,Inner West,85462,14170,188325.0
LGAID58,Inverell,8137,14220,18059.0
LGAID59,Junee,2519,14300,6520.0
LGAID60,Kempsey,14292,14350,31453.0
LGAID61,Kiama,10785,14400,23002.0
LGAID62,Ku-ring-gai,45894,14500,126983.0
LGAID63,Kyogle,4688,14550,9468.0
LGAID64,Lachlan,3014,14600,6147.0
LGAID65,Lake Macquarie,88908,14650,219249.0
LGAID66,Lane Cove,17340,14700,41549.0
LGAID67,Leeton,4705,14750,11431.0
LGAID68,Lismore,19781,14850,43907.0
LGAID69,Lithgow,10236,14870,20724.0
LGAID70,Liverpool,77895,14900,247672.0
LGAID71,Liverpool Plains,3694,14920,7667.0
LGAID72,Lockhart,1417,14950,3396.0
LGAID73,Maitland,35456,15050,95957.0
LGAID74,Mid-Coast,50474,15240,97909.0
LGAID75,Mid-Western Regional,12262,,
LGAID76,Moree Plains,6230,15300,12873.0
LGAID77,Mosman,13410,15350,29071.0
LGAID78,Murray River,6268,15520,13326.0
LGAID79,Murrumbidgee,1647,15560,3607.0
LGAID80,Muswellbrook,7333,15650,16778.0
LGAID81,Nambucca Valley,10016,15700,20774.0
LGAID82,Narrabri,5997,15750,12754.0
LGAID83,Narrandera,2694,15800,5692.0
LGAID84,Narromine,2851,15850,6443.0
LGAID85,Newcastle,74585,15900,174294.0
LGAID86,North Sydney,39034,15950,72014.0
LGAID87,Northern Beaches,105115,15990,267921.0
LGAID88,Oberon,2828,16100,5600.0
LGAID89,Orange,18706,16150,44244.0
LGAID90,Parkes,6697,16200,14256.0
LGAID91,Parramatta,106654,16260,269145.0
LGAID92,Penrith,81250,16350,224483.0
LGAID93,Port Macquarie-Hastings,40066,16380,89596.0
LGAID94,Port Stephens,35699,16400,77748.0
LGAID95,Queanbeyan-Palerang Regional,26549,,
LGAID96,Randwick,59965,16550,141840.0
LGAID97,Richmond Valley,10692,16610,23705.0
LGAID98,Ryde,55742,16700,135716.0
LGAID99,Shellharbour,29884,16900,79738.0
LGAID100,Shoalhaven,58799,16950,109895.0
LGAID101,Singleton,9838,17000,25332.0
LGAID102,Snowy Monaro Regional,12251,,
LGAID103,Snowy Valleys,7075,17080,14935.0
LGAID104,Strathfield,18287,17100,47824.0
LGAID105,Sutherland Shire,90981,,
LGAID106,Sydney,124114,17200,231086.0
LGAID107,Tamworth Regional,27725,,
LGAID108,Temora,2926,17350,6029.0
LGAID109,Tenterfield,3968,17400,6973.0
LGAID110,The Hills Shire,64080,,
LGAID111,Tweed,44661,17550,98967.0
LGAID112,Upper Hunter Shire,6793,,
LGAID113,Upper Lachlan Shire,4584,,
LGAID114,Uralla,2759,17650,6047.0
LGAID115,Wagga Wagga,28244,17750,68716.0
LGAID116,Walcha,1638,17850,2968.0
LGAID117,Walgett,2865,17900,5519.0
LGAID118,Warren,1228,17950,2583.0
LGAID119,Warrumbungle Shire,4739,,
LGAID120,Waverley,32850,18050,71414.0
LGAID121,Weddin,1869,18100,3616.0
LGAID122,Wentworth,3457,18200,7688.0
LGAID123,Willoughby,31175,18250,77874.0
LGAID124,Wingecarribee,23623,18350,53109.0
LGAID125,Wollondilly,18918,18400,57616.0
LGAID126,Wollongong,89476,18450,219141.0
LGAID127,Woollahra,26588,18500,54660.0
LGAID128,Yass Valley,6823,18710,17477.0
LGAID129,Unincorporated NSW,549,19399,1013.0
LGAID130,Migratory - Offshore - Shipping (NSW),34,,
LGAID131,Alpine,7271,20110,13182.0
LGAID132,Ararat,5509,20260,11683.0
LGAID133,Ballarat,50347,20570,118137.0
LGAID134,Banyule,53031,20660,129602.0
LGAID135,Bass Coast,28981,20740,42729.0
LGAID136,Baw Baw,24522,20830,60644.0
LGAID137,Bayside (Vic.),43102,20910,104272.0
LGAID138,Benalla,7211,21010,14529.0
LGAID139,Boroondara,72924,21110,174537.0
LGAID140,Brimbank,71871,21180,196046.0
LGAID141,Buloke,3397,21270,6040.0
LGAID142,Campaspe,17840,21370,38299.0
LGAID143,Cardinia,43533,21450,126960.0
LGAID144,Casey,122674,21610,392110.0
LGAID145,Central Goldfields,7004,21670,13574.0
LGAID146,Colac Otway,12460,21750,22273.0
LGAID147,Corangamite,7897,21830,15948.0
LGAID148,Darebin,68366,21890,155683.0
LGAID149,East Gippsland,26078,22110,49179.0
LGAID150,Frankston,58890,22170,142826.0
LGAID151,Gannawarra,5326,22250,10420.0
LGAID152,Glen Eira,66235,22310,156837.0
LGAID153,Glenelg,10173,22410,20022.0
LGAID154,Golden Plains,9408,22490,25818.0
LGAID155,Greater Bendigo,53173,22620,124174.0
LGAID156,Greater Dandenong,58198,22670,163792.0
LGAID157,Greater Geelong,120823,22750,282809.0
LGAID158,Greater Shepparton,28885,22830,69135.0
LGAID159,Hepburn,9511,22910,16670.0
LGAID160,Hindmarsh,3110,22980,5559.0
LGAID161,Hobsons Bay,39336,23110,93738.0
LGAID162,Horsham,9638,23190,20315.0
LGAID163,Hume,83980,23270,262764.0
LGAID164,Indigo,7750,23350,17662.0
LGAID165,Kingston (Vic.),67622,23430,163724.0
LGAID166,Knox,62012,23670,161766.0
LGAID167,Latrobe (Vic.),35685,23810,78154.0
LGAID168,Loddon,4323,23940,7747.0
LGAID169,Macedon Ranges,20630,24130,52920.0
LGAID170,Manningham,49918,24210,129514.0
LGAID171,Mansfield,6619,24250,10546.0
LGAID172,Maribyrnong,40501,24330,91762.0
LGAID173,Maroondah,46937,24410,117434.0
LGAID174,Melbourne,103368,24600,177396.0
LGAID175,Melton,60363,24650,206070.0
LGAID176,Mildura,25371,24780,57554.0
LGAID177,Mitchell,19590,24850,53723.0
LGAID178,Moira,14948,24900,30775.0
LGAID179,Monash,76463,24970,203560.0
LGAID180,Moonee Valley,55115,25060,126486.0
LGAID181,Moorabool,15473,25150,39092.0
LGAID182,Moreland,78310,,
LGAID183,Mornington Peninsula,93602,25340,170243.0
LGAID184,Mount Alexander,10141,25430,20576.0
LGAID185,Moyne,8550,25490,17610.0
LGAID186,Murrindindi,8349,25620,15482.0
LGAID187,Nillumbik,22406,25710,63264.0
LGAID188,Northern Grampians,6253,25810,11879.0
LGAID189,Port Phillip,63301,25900,109515.0
LGAID190,Pyrenees,3939,25990,7786.0
LGAID191,Queenscliffe,2902,26080,3238.0
LGAID192,South Gippsland,17145,26170,30823.0
LGAID193,Southern Grampians,8292,26260,16470.0
LGAID194,Stonnington,59609,26350,111335.0
LGAID195,Strathbogie,6164,26430,11578.0
LGAID196,Surf Coast,20678,26490,39292.0
LGAID197,Swan Hill,9554,26610,21212.0
LGAID198,Towong,3125,26670,6243.0
LGAID199,Wangaratta,13677,26700,30002.0
LGAID200,Warrnambool,16025,26730,35907.0
LGAID201,Wellington,23554,26810,46124.0
LGAID202,West Wimmera,2255,26890,3933.0
LGAID203,Whitehorse,71712,26980,178639.0
LGAID204,Whittlesea,82993,27070,245029.0
LGAID205,Wodonga,18214,27170,44276.0
