LocationID,State,SA4Name
1,NSW,Riverina
2,NSW,Sydney - Baulkham Hills and Hawkesbury
3,Tas,Launceston and North East
4,NSW,New England and North West
5,Vic,
6,Qld,Toowoomba
7,SA,Barossa - Yorke - Mid North
8,WA,
9,Qld,Darling Downs - Maranoa
10,Tas,Hobart
11,SA,South Australia - South East
12,NSW,Sydney - Outer West and Blue Mountains
13,NSW,Capital Region
14,Qld,Cairns
15,ACT,Australian Capital Territory
16,NSW,Illawarra
17,NSW,Hunter Valley exc Newcastle
18,Qld,Wide Bay
19,NSW,Central West
20,NSW,Sydney - Inner South West
21,NT,
22,Vic,Hume
23,NSW,Murray
24,NSW,Mid North Coast
25,Qld,Mackay - Isaac - Whitsunday
26,Qld,Logan - Beaudesert
27,NSW,Far West and Orana
28,SA,South Australia - Outback
29,Qld,Queensland - Outback
30,Vic,Bendigo
31,NSW,Central Coast
32,Vic,Melbourne - North East
33,NSW,Newcastle and Lake Macquarie
34,Qld,Central Queensland
35,NSW,Sydney - Blacktown
36,Vic,Ballarat
37,Qld,Ipswich
38,NSW,Sydney - South West
39,NSW,Sydney - Parramatta
40,Qld,Moreton Bay - North
41,NSW,Richmond - Tweed
42,Vic,Melbourne - Inner
43,Qld,Brisbane - South
44,SA,Adelaide - North
45,Vic,Melbourne - North West
46,Vic,Warrnambool and South West
47,Vic,Melbourne - South East
48,Vic,Latrobe - Gippsland
49,SA,Adelaide - West
50,Qld,Gold Coast
51,Vic,Mornington Peninsula
52,ACT,
53,Qld,Brisbane Inner City
54,Qld,Moreton Bay - South
55,NSW,Sydney - North Sydney and Hornsby
56,Vic,North West
57,NSW,Sydney - Outer South West
58,Qld,Sunshine Coast
59,Qld,Townsville
60,Vic,Melbourne - Inner South
61,SA,Adelaide - Central and Hills
62,NSW,Sydney - City and Inner South
63,Vic,Melbourne - Inner East
64,Qld,Brisbane - East
65,Vic,Melbourne - Outer East
66,Vic,Geelong
67,SA,Adelaide - South
68,NSW,Coffs Harbour - Grafton
69,Tas,
70,Vic,Shepparton
71,Tas,South East
72,NSW,Southern Highlands and Shoalhaven
73,Vic,Melbourne - West
74,Qld,Brisbane - West
75,NSW,Sydney - Northern Beaches
76,Tas,West and North West
77,NT,Northern Territory - Outback
78,NT,Darwin
79,Qld,Brisbane - North
80,NSW,Sydney - Inner West
81,NSW,Sydney - Sutherland
82,NSW,Sydney - Eastern Suburbs
83,NSW,Sydney - Ryde
84,Vic,Unknown
85,ACT,Unknown
86,WA,Unknown
87,NT,Unknown
88,WA,Western Australia - Wheat Belt
89,WA,Perth - South West
90,WA,Mandurah
91,WA,Western Australia - Outback (North)
92,WA,Perth - North West
93,WA,Perth - Inner
94,WA,Perth - North East
95,WA,Perth - South East
96,WA,Western Australia - Outback (South)
97,WA,Bunbury
98,Tas,Unknown
99,Qld,Unknown
100,NSW,Unknown
101,Qld,
102,NSW,
103,SA,
