TimeID,Hour,TimeGroup
1,4.0,Early Morning
2,6.0,Morning
3,9.0,Morning
4,10.0,Morning
5,11.0,Morning
6,13.0,Afternoon
7,13.0,Afternoon
8,17.0,Afternoon
9,19.0,Evening
10,19.0,Evening
11,19.0,Evening
12,22.0,Night
13,23.0,Night
14,23.0,Night
15,1.0,Early Morning
16,1.0,Early Morning
17,2.0,Early Morning
18,9.0,Morning
19,10.0,Morning
20,10.0,Morning
21,12.0,Afternoon
22,13.0,Afternoon
23,14.0,Afternoon
24,14.0,Afternoon
25,15.0,Afternoon
26,16.0,Afternoon
27,19.0,Evening
28,20.0,Evening
29,21.0,Night
30,21.0,Night
31,2.0,Early Morning
32,3.0,Early Morning
33,4.0,Early Morning
34,4.0,Early Morning
35,8.0,Morning
36,10.0,Morning
37,10.0,Morning
38,11.0,Morning
39,11.0,Morning
40,12.0,Afternoon
41,14.0,Afternoon
42,15.0,Afternoon
43,15.0,Afternoon
44,15.0,Afternoon
45,15.0,Afternoon
46,16.0,Afternoon
47,20.0,Evening
48,21.0,Night
49,22.0,Night
50,2.0,Early Morning
51,6.0,Morning
52,8.0,Morning
53,8.0,Morning
54,11.0,Morning
55,12.0,Afternoon
56,12.0,Afternoon
57,12.0,Afternoon
58,12.0,Afternoon
59,12.0,Afternoon
60,13.0,Afternoon
61,14.0,Afternoon
62,14.0,Afternoon
63,14.0,Afternoon
64,17.0,Afternoon
65,17.0,Afternoon
66,18.0,Evening
67,18.0,Evening
68,22.0,Night
69,23.0,Night
70,1.0,Early Morning
71,9.0,Morning
72,9.0,Morning
73,12.0,Afternoon
74,15.0,Afternoon
75,16.0,Afternoon
76,17.0,Afternoon
77,22.0,Night
78,6.0,Morning
79,8.0,Morning
80,11.0,Morning
81,13.0,Afternoon
82,13.0,Afternoon
83,17.0,Afternoon
84,18.0,Evening
85,21.0,Night
86,22.0,Night
87,23.0,Night
88,0.0,Early Morning
89,12.0,Afternoon
90,12.0,Afternoon
91,19.0,Evening
92,4.0,Early Morning
93,7.0,Morning
94,7.0,Morning
95,10.0,Morning
96,10.0,Morning
97,10.0,Morning
98,12.0,Afternoon
99,14.0,Afternoon
100,17.0,Afternoon
101,18.0,Evening
102,20.0,Evening
103,21.0,Night
104,22.0,Night
105,3.0,Early Morning
106,6.0,Morning
107,6.0,Morning
108,10.0,Morning
109,12.0,Afternoon
110,14.0,Afternoon
111,15.0,Afternoon
112,15.0,Afternoon
113,15.0,Afternoon
114,15.0,Afternoon
115,16.0,Afternoon
116,17.0,Afternoon
117,3.0,Early Morning
118,5.0,Early Morning
119,9.0,Morning
120,10.0,Morning
121,11.0,Morning
122,11.0,Morning
123,11.0,Morning
124,15.0,Afternoon
125,17.0,Afternoon
126,17.0,Afternoon
127,18.0,Evening
128,18.0,Evening
129,21.0,Night
130,21.0,Night
131,23.0,Night
132,23.0,Night
133,23.0,Night
134,1.0,Early Morning
135,2.0,Early Morning
136,3.0,Early Morning
137,7.0,Morning
138,8.0,Morning
139,9.0,Morning
140,10.0,Morning
141,11.0,Morning
142,12.0,Afternoon
143,17.0,Afternoon
144,0.0,Early Morning
145,4.0,Early Morning
146,5.0,Early Morning
147,12.0,Afternoon
148,16.0,Afternoon
149,17.0,Afternoon
150,18.0,Evening
151,5.0,Early Morning
152,8.0,Morning
153,8.0,Morning
154,10.0,Morning
155,11.0,Morning
156,11.0,Morning
157,12.0,Afternoon
158,12.0,Afternoon
159,14.0,Afternoon
160,16.0,Afternoon
161,17.0,Afternoon
162,18.0,Evening
163,20.0,Evening
164,23.0,Night
165,1.0,Early Morning
166,21.0,Night
167,22.0,Night
168,23.0,Night
169,6.0,Morning
170,11.0,Morning
171,15.0,Afternoon
172,16.0,Afternoon
173,16.0,Afternoon
174,17.0,Afternoon
175,19.0,Evening
176,22.0,Night
177,22.0,Night
178,23.0,Night
179,0.0,Early Morning
180,6.0,Morning
181,8.0,Morning
182,10.0,Morning
183,14.0,Afternoon
184,14.0,Afternoon
185,16.0,Afternoon
186,5.0,Early Morning
187,5.0,Early Morning
188,13.0,Afternoon
189,16.0,Afternoon
190,16.0,Afternoon
191,19.0,Evening
192,0.0,Early Morning
193,1.0,Early Morning
194,7.0,Morning
195,9.0,Morning
196,11.0,Morning
197,13.0,Afternoon
198,13.0,Afternoon
199,14.0,Afternoon
200,14.0,Afternoon
201,16.0,Afternoon
202,3.0,Early Morning
203,4.0,Early Morning
204,8.0,Morning
205,13.0,Afternoon
206,15.0,Afternoon
207,16.0,Afternoon
208,17.0,Afternoon
209,18.0,Evening
210,21.0,Night
211,0.0,Early Morning
212,5.0,Early Morning
213,20.0,Evening
214,21.0,Night
215,4.0,Early Morning
216,13.0,Afternoon
217,13.0,Afternoon
218,15.0,Afternoon
219,21.0,Night
220,23.0,Night
221,2.0,Early Morning
222,8.0,Morning
223,12.0,Afternoon
224,12.0,Afternoon
225,20.0,Evening
226,20.0,Evening
227,20.0,Evening
228,21.0,Night
229,10.0,Morning
230,11.0,Morning
231,17.0,Afternoon
232,4.0,Early Morning
233,9.0,Morning
234,10.0,Morning
235,11.0,Morning
236,15.0,Afternoon
237,17.0,Afternoon
238,19.0,Evening
239,22.0,Night
240,7.0,Morning
241,10.0,Morning
242,12.0,Afternoon
243,19.0,Evening
244,21.0,Night
245,21.0,Night
246,1.0,Early Morning
247,5.0,Early Morning
248,7.0,Morning
249,12.0,Afternoon
250,12.0,Afternoon
251,21.0,Night
252,8.0,Morning
253,12.0,Afternoon
254,19.0,Evening
255,22.0,Night
256,9.0,Morning
257,13.0,Afternoon
258,15.0,Afternoon
259,16.0,Afternoon
260,17.0,Afternoon
261,18.0,Evening
262,18.0,Evening
263,22.0,Night
264,8.0,Morning
265,13.0,Afternoon
266,18.0,Evening
267,19.0,Evening
268,0.0,Early Morning
269,5.0,Early Morning
270,7.0,Morning
271,9.0,Morning
272,10.0,Morning
273,15.0,Afternoon
274,17.0,Afternoon
275,17.0,Afternoon
276,19.0,Evening
277,0.0,Early Morning
278,10.0,Morning
279,14.0,Afternoon
280,18.0,Evening
281,19.0,Evening
282,22.0,Night
283,23.0,Night
284,0.0,Early Morning
285,1.0,Early Morning
286,6.0,Morning
287,19.0,Evening
288,15.0,Afternoon
289,15.0,Afternoon
290,18.0,Evening
291,21.0,Night
292,4.0,Early Morning
293,6.0,Morning
294,19.0,Evening
295,20.0,Evening
296,20.0,Evening
297,9.0,Morning
298,19.0,Evening
299,22.0,Night
300,22.0,Night
301,11.0,Morning
302,12.0,Afternoon
303,12.0,Afternoon
304,8.0,Morning
305,8.0,Morning
306,11.0,Morning
307,12.0,Afternoon
308,13.0,Afternoon
309,19.0,Evening
310,20.0,Evening
311,22.0,Night
312,23.0,Night
313,0.0,Early Morning
314,9.0,Morning
315,19.0,Evening
316,23.0,Night
317,4.0,Early Morning
